sku,name,image_link,overview,length,width,height,diameter,volume,material,color,pattern,ean_code,barcode,upc,product_url,source
SN1591,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1591-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1591-3-rows-baguette-tray-non-stick/,chakawal.com
SN1640,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1640-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1640-hot-dog-bun-pan-non-stick-8-indents/,chakawal.com
SN1983,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1983-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1983-al-alloy-trolley-anodized/,chakawal.com
SN1644,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1644-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1644-hot-dog-bun-pan-non-stick-15-indents/,chakawal.com
SN1570,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1570-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1570-s-s-cooling-rack-electrolysis/,chakawal.com
SN1587,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1587-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1587-5-rows-baguette-tray-non-stick/,chakawal.com
SN1342,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1342-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1342-stainless-steel-sheet-pan/,chakawal.com
SN1348,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1348-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1348-stainless-steel-perforated-sheet-pan/,chakawal.com
SN1371,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1371-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1371-alusteel-bevel-sheet-pan-non-stick/,chakawal.com
SN1401,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1401-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1401-honey-cake-pan/,chakawal.com
