mfr,product_url,image_link,overview,length,width,height,capacity,diameter,features,edge_style,color,shape,material
49115Q168,https://www.webstaurantstore.com/flute-7-25oz-inalto-tre-sensi-borm-rocco-2dz-case/57649115Q168.html,https://cdnimg.webstaurantstore.com/images/products/large/790428/2678146.jpg,Designed in collaboration with Italian sommeliers to bring out the best in each wine | Hot-pulled stem and XLT treatment help prevent breakage | Tapered tulip shape enhances the aromas of sparkling wines and Champagnes | Reduced thickness and laser bead rim enhance the tasting experience | Flat foot adds stability and improves drying,,,7 7/8 Inches,7.25 oz.,"2 5/8 Inches, 2 1/2 Inches, 2 5/8 Inches","Dishwasher Safe, Lead Free, Sheer Rim",,Clear,Round,Crystal
53852S057,https://www.webstaurantstore.com/wnk-contour-from-steelite-international-8-3-4-18-10-stainless-steel-extra-heavy-weight-steak-knife-pack/5765302S057.html,https://cdnimg.webstaurantstore.com/images/products/large/808331/2733873.jpg,"Perfect for cutting steaks and other meats | Graceful, sophisticated design complements any tablescape | High-quality mirror polished finish for a sparkling, professional presentation | Durable 18/10 extra heavy weight stainless steel construction | Hollow handle for excellent balance and a lighter feel",8 3/4 Inches,,,,,"Dishwasher Safe, Hollow-Handles",Smooth,Silver,,"Stainless Steel, Stainless Steel, Stainless Steel"
53853S057,https://www.webstaurantstore.com/wnk-zen-from-steelite-international-9-1-2-18-10-stainless-steel-extra-heavy-weight-standing-steak-knife-case/5765315S057.html,https://cdnimg.webstaurantstore.com/images/products/large/842450/2854438.jpg,Perfect for cutting steaks and other meats | Standing design with a square handle | High-quality mirror polished finish for a professional presentation | Durable 18/10 extra heavy weight stainless steel construction | Perfect for completing table settings at restaurants and bistros,9 1/2 Inches,,,,,Dishwasher Safe,Serrated,Silver,,"Stainless Steel, Stainless Steel, Stainless Steel"
5392S077,https://www.webstaurantstore.com/jean-dubost-laguiole-from-steelite-international-9-stainless-steel-steak-knife-with-black-abs-handle-case/5765392S077.html,https://cdnimg.webstaurantstore.com/images/products/large/807372/2729111.jpg,"Crafted with a special firing process, providing ultimate blade flexibility | Sleek black ABS handle | Mirror-polished, straight, sharpened blade perfectly cuts through steaks | Durable construction ensures long-lasting use | Great for completing table settings at restaurants, bistros, and catered events","9 Inches, 9 Inches",,,,,"Dishwasher Safe, Imported from France",Smooth,"Silver, Black",,"Stainless Steel, ABS Plastic, Plastic, Stainless Steel"
5392S057,https://www.webstaurantstore.com/jean-dubost-laguiole-from-steelite-international-9-serrated-stainless-steel-steak-knife-with-black-abs-handle-case/5765392S057.html,https://cdnimg.webstaurantstore.com/images/products/large/807460/2729110.jpg,"Crafted with a special firing process, providing ultimate blade flexibility | Sleek black ABS handle | Mirror-polished, serrated blade perfectly cuts through steaks and tough cuts of meat | Durable construction ensures long-lasting use | Great for completing table settings at restaurants, bistros, and catered events","9 Inches, 9 Inches",,,,,"Dishwasher Safe, Imported from France",Serrated,"Silver, Black",,"Stainless Steel, ABS Plastic, Plastic, Stainless Steel"
5393S077,https://www.webstaurantstore.com/jean-dubost-laguiole-from-steelite-international-9-stainless-steel-steak-knife-with-ivory-abs-handle-case/5765393S077.html,https://cdnimg.webstaurantstore.com/images/products/large/807400/2729026.jpg,"Crafted with a special firing process, providing ultimate blade flexibility | Sleek ivory ABS handle | Mirror-polished, straight, sharpened blade perfectly cuts through steaks | Durable construction ensures long-lasting use | Great for completing table settings at restaurants, bistros, and catered events","9 Inches, 9 Inches",,,,,"Dishwasher Safe, Imported from France",Smooth,"Silver, White",,"Stainless Steel, ABS Plastic, Plastic, Stainless Steel"
5398S033,https://www.webstaurantstore.com/wnk-tura-from-steelite-international-7-1-4-18-10-stainless-steel-extra-heavy-weight-oval-bowl-soup-dessert-spoon-case/5765308S003.html,https://cdnimg.webstaurantstore.com/images/products/large/842437/2853020.jpg,"Perfect for serving soups, stews, and desserts | Square handle with an upward curve | High-quality mirror polished finish for a professional presentation | Durable 18/10 extra heavy weight stainless steel construction | Perfect for completing table settings at restaurants and bistros",7 1/4 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5398S034,https://www.webstaurantstore.com/wnk-tura-from-steelite-international-7-3-4-18-10-stainless-steel-extra-heavy-weight-tablespoon-serving-spoon-case/5765308S004.html,https://cdnimg.webstaurantstore.com/images/products/large/842469/2852993.jpg,"Perfect for serving main dishes, sides, and larger portions | Square handle with an upward curve | High-quality mirror polished finish for a professional presentation | Durable 18/10 extra heavy weight stainless steel construction | Perfect for completing table settings at restaurants and bistros",7 3/4 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5402S034,https://www.webstaurantstore.com/jean-dubost-laguiole-vintage-from-steelite-international-6-stainless-steel-parmesan-cheese-knife-case/5765402S034.html,https://cdnimg.webstaurantstore.com/images/products/large/807388/2729031.jpg,"Score cheese rinds or cleave off chunks of hard cheese from a block | Sleek stainless steel handle | Vintage finish provides a trendy, contemporary look | Durable construction ensures long-lasting use | Ideal for restaurants, bars, cafes, or wineries",6 Inches,,,,,"Dishwasher Safe, Imported from France",,Silver,,"Stainless Steel, Stainless Steel"
5411S268,https://www.webstaurantstore.com/amana-commercial-microwaves-54116068-board-hv-lv/HP54116068.html,https://cdnimg.webstaurantstore.com/images/products/large/345521/1281212.jpg,OEM part ensures warranty / agency compliance and best performance,,,,,,,,,,
5707SX001,https://www.webstaurantstore.com/varick-estate-from-steelite-international-6-18-0-stainless-steel-heavy-weight-teaspoon-case/5765706SX001.html,https://cdnimg.webstaurantstore.com/images/products/large/811889/2742281.jpg,"Perfect for serving coffee, tea, and desserts | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",6 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5707SX002,https://www.webstaurantstore.com/varick-estate-from-steelite-international-5-3-4-18-0-stainless-steel-heavy-weight-soup-spoon-case/5765706SX002.html,https://cdnimg.webstaurantstore.com/images/products/large/811887/2742278.jpg,"Perfect for serving soups and stews | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",5 3/4 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5707SX003,https://www.webstaurantstore.com/varick-estate-from-steelite-international-6-3-4-18-0-stainless-steel-heavy-weight-oval-bowl-soup-dessert-spoon-case/5765706SX003.html,https://cdnimg.webstaurantstore.com/images/products/large/811904/2742277.jpg,"Perfect for serving soups, stews, and desserts | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",6 3/4 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5707SX006,https://www.webstaurantstore.com/varick-estate-from-steelite-international-7-3-8-18-0-stainless-steel-heavy-weight-iced-tea-spoon-case/5765706SX006.html,https://cdnimg.webstaurantstore.com/images/products/large/811828/2742280.jpg,"Perfect for stirring iced tea, lemonade, and other tall beverages | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",7 3/8 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5707SX021,https://www.webstaurantstore.com/varick-estate-from-steelite-international-7-3-8-18-0-stainless-steel-heavy-weight-dinner-fork-case/5765706SX021.html,https://cdnimg.webstaurantstore.com/images/products/large/811833/2742357.jpg,"Perfect for serving main courses and hearty salads | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",7 3/8 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5707SX023,https://www.webstaurantstore.com/varick-estate-from-steelite-international-6-3-4-18-0-stainless-steel-heavy-weight-salad-dessert-fork-case/5765706SX023.html,https://cdnimg.webstaurantstore.com/images/products/large/811888/2742355.jpg,"Perfect for serving salads, appetizers, and desserts | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",6 3/4 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5707SX042,https://www.webstaurantstore.com/varick-estate-from-steelite-international-8-1-2-18-0-stainless-steel-heavy-weight-dinner-knife-case/5765706SX042.html,https://cdnimg.webstaurantstore.com/images/products/large/811915/2742329.jpg,"Perfect for cutting main courses and hearty dishes | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",8 1/2 Inches,,,,,Dishwasher Safe,Serrated,Silver,,"Stainless Steel, Stainless Steel"
5707SX045,https://www.webstaurantstore.com/varick-estate-from-steelite-international-6-3-4-18-0-stainless-steel-heavy-weight-butter-knife-case/5765706SX045.html,https://cdnimg.webstaurantstore.com/images/products/large/811809/2742367.jpg,"Perfect for spreading butter, jams, and soft spreads | Features a square handle with linear embossments | High-quality mirror polished finish for a sparkling presentation | Durable 18/0 heavy weight stainless steel construction | Perfect for diners, cafes, and cafeterias",6 3/4 Inches,,,,,Dishwasher Safe,Smooth,Silver,,"Stainless Steel, Stainless Steel"
5718SX008,https://www.webstaurantstore.com/varick-avina-from-steelite-international-6-18-0-stainless-steel-heavy-weight-teaspoon-case/5765718SX001.html,https://cdnimg.webstaurantstore.com/images/products/large/792198/2685877.jpg,"Perfect for use when serving coffee, tea, desserts, and cereals | Classy, curvy design makes a delicate, yet striking addition to your tablescape | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Slender, tapered handle with square end provides a sleek, modern look",6 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5719SX008,https://www.webstaurantstore.com/varick-marnee-from-steelite-international-6-1-8-18-0-stainless-steel-heavy-weight-teaspoon-case/5765719SX001.html,https://cdnimg.webstaurantstore.com/images/products/large/792281/2685853.jpg,"Perfect for use when serving coffee, tea, desserts, and cereals | Delicate, simple design accents your tablescape without overwhelming it | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Slender handle with a subtle linear accent at the base provides a sleek, modern look",6 1/8 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5723SX001A,https://www.webstaurantstore.com/varick-avery-from-steelite-international-6-38-180-stainless-steel-heavy-weight-teaspoon-case/5765723SX001.html,https://cdnimg.webstaurantstore.com/images/products/large/792358/2686125.jpg,"Perfect for use when serving coffee, tea, desserts, and cereals | Simple, comforting design accents your tablescape without overwhelming it | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Smooth, rounded handle provides a sleek, modern look",6 3/8 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5723SX003A,https://www.webstaurantstore.com/varick-avery-from-steelite-international-7-14-180-stainless-steel-heavy-weight-dessert-spoon-case/5765723SX003.html,https://cdnimg.webstaurantstore.com/images/products/large/792353/2686124.jpg,"Perfect for use when serving ice cream, custard, and pudding | Simple, modern design accents your tablescape without overwhelming it | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Smooth, rounded handle provides a sleek, modern look",7 1/4 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5723SX021A,https://www.webstaurantstore.com/varick-avery-from-steelite-international-7-78-180-stainless-steel-heavy-weight-dinner-fork-case/5765723SX021.html,https://cdnimg.webstaurantstore.com/images/products/large/792179/2686126.jpg,"Perfect for use when serving main entrees such as steak, chicken, or pasta | Simple, modern design accents your tablescape without overwhelming it | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Smooth, rounded handle provides a sleek, modern look",7 7/8 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5723SX023A,https://www.webstaurantstore.com/varick-avery-from-steelite-international-7-1-2-18-0-stainless-steel-heavy-weight-salad-dessert-fork-12-case-case/5765723SX023.html,https://cdnimg.webstaurantstore.com/images/products/large/792384/2686127.jpg,"Perfect for use when serving small side salads or sliced fruit | Simple, modern design accents your tablescape without overwhelming it | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Smooth, rounded handle provides a sleek, modern look",7 1/2 Inches,,,,,Dishwasher Safe,,Silver,,"Stainless Steel, Stainless Steel"
5723SX042A,https://www.webstaurantstore.com/varick-avery-from-steelite-international-9-18-180-stainless-steel-heavy-weight-dinner-knife-case/5765723SX042.html,https://cdnimg.webstaurantstore.com/images/products/large/792250/2686122.jpg,"Perfect for use when serving vegetables and tender meats | Simple, modern design accents your tablescape without overwhelming it | High-quality mirror finish for a sparkling, professional presentation | Durable 18/0 heavy weight stainless steel construction | Smooth, rounded handle provides a sleek, modern look",9 1/8 Inches,,,,,Dishwasher Safe,Serrated,Silver,,"Stainless Steel, Stainless Steel"
