name,item_sku,model_number,manufacturer,image_link,overview,material,color,pattern,length,width,height,volume_capacity,diameter,country_of_origin,upc_barcode,ean_code,hazmat,oversize,marketplace_uom,product_url
Steelite 11300525 Performance Craft Blue 4 Oz. Bowl - 12 / CS,6022832,11300242,6022832,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This bowl from Steelite is part of the Performance Craft Blue Collection and has a capacity of 4 ounces. It is inspired by hand&dash;crafted, simple country wares made by generations of potters over hundreds of years. It features a gem&dash;like glaze and will add a rustic look to any table setting.",China,White,Craft Blue,5 Inches,5 Inches,N/A,4 Ounces,N/A,United Kingdom,N/A,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-11300525-performance-craft-blue-4-oz-bowl---12--cs-6026741
"Steelite 11550501 Performance Craft White 14.63"" Plate - 6 / CS",6025729,11550523,6025729,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"This Performance Craft White plate comes in a 14.63"" size and has an irregular shape. It is made from ceramic and has a hand&dash;applied white glaze. This plate is safe for use in the microwave, freezer, and dishwasher, and is oven&dash;safe to 530°F. It has a lifetime edge chip warranty.",China,White,Craft White,14.63 Inches,14.63 Inches,N/A,N/A,N/A,United Kingdom,N/A,N/A,No,No,Case = 6,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-11550501-craft%C2%99-1463-white-plate---6---cs-6031378
"Folio 5729SX001 Alison 6-1/2"" Teaspoon - Dozen",6054769,5729SX023,6054769,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"The Alison Flatware Collection from Steelite features 18&sol;10 stainless steel construction that provides excellent stain and rust resistance with a long lasting shine. This 6&dash;1&sol;2"" teaspoon is part of the Alison Pattern with a beautiful mirrored hammered pattern. Perfect for banqueting and fine dining.",Stainless Steel,Silver,Alison,6.5,N/A,N/A,N/A,N/A,Vietnam,N/A,N/A,No,No,Dozen = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-5729sx001-alison-6-1-2-quot;-teaspoon---dozen-6054764
"Folio 5729SX042 Alison 9-1/8"" Dinner Knife - Dozen",6054769,5729SX023,6054769,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"The Alison Flatware Collection from Steelite features 18&sol;10 stainless steel construction that provides excellent stain and rust resistance with a long lasting shine. This 9&dash;1&sol;8"" dinner knife is part of the Alison Pattern with a beautiful mirrored hammered pattern. Perfect for banqueting and fine dining.",Stainless Steel,Silver,Alison,9.13,N/A,N/A,N/A,N/A,Vietnam,105018461556023,N/A,No,No,Dozen = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-5729sx042-alison-9-1-8-quot;-dinner-knife---dozen-6054767
"Folio 5729SX021 Alison 8-1/8"" Dinner Fork - Dozen",6054769,5729SX023,6054769,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This 8&dash;1&sol;8"" dinner fork is part of the Alison Flatware Collection from Steelite. The durable 18&sol;10 stainless steel construction provides excellent stain and rust resistance with a long lasting shine. This dinner fork features the Alison Pattern with a beautiful mirrored hammered pattern. Perfect for banqueting and fine dining.",Stainless Steel,Silver,Alison,8.13,N/A,N/A,N/A,N/A,Vietnam,N/A,N/A,No,No,Dozen = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-5729sx021-alison-8-1-8-quot;-dinner-fork---dozen-6054768
"Folio 5729SX023 Alison 6-7/8"" Salad &sol; Dessert Fork - Dozen",6054768,5729SX021,6054768,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,This salad &sol; dessert fork is part of the Alison Pattern with a beautiful mirrored hammered pattern and is perfect for banqueting and fine dining. The Alison Flatware Collection from Steelite features 18&sol;10 stainless steel construction that provides excellent stain and rust resistance with a long lasting shine.,Stainless Steel,Silver,Alison,6.9,N/A,N/A,N/A,N/A,Vietnam,N/A,N/A,No,No,Dozen = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-5729sx023-alison-6-7-8-quot;-salad---dessert-fork---dozen-6054769
Anfora A940P038 Denali Gray 12 Ounce Mug - 12 / CS,6062255,A940P179,6062255,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This 12 ounce mug from Anfora is part of the Denali Gray Collection and features a beautiful, semi&dash;transparent blue &sol; gray glaze that is accented with a shadow rim. The hand&dash;crafted glaze application ensures a collection where no two pieces are exactly alike, making each piece one&dash;of&dash;a&dash;kind.",China,Gray,Denali Gray,N/A,4.88 Inches,4.63 Inches,12 Ounces,N/A,Mexico,N/A,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/anfora-a940p038-denali-gray-12-ounce-mug---12---cs-6056700
"Steelite 17560567 Charcoal Dapple 8"" Coupe Dinner Plate - 24 / CS",6081994,17560543,6081994,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This 8"" plate from Steelite is part of the Performance Charcoal Dapple Collection and features a soft white body and bold rim that adds both a rustic and contemporary feel to your food service presentation.",China,White,Charcoal Dapple,8 Inches,8 Inches,N/A,N/A,N/A,United Kingdom,N/A,N/A,No,No,Case = 24,https://www.wasserstrom.com/restaurant-supplies-equipment/plate-dinner-8-quot;dia-coupe-charcoal-dapple-6080175
Steelite 12030569 Vesuvius Burnt Emerald 38 Ounce Bowl - 12 / CS,6107361,12030553,6107361,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"The Vesuvius range is a collection of three stunning reactive glazes, including Amber, Lapis and Emerald. Taking their names from some of nature's more precious materials, these glazes complement and contrast with each other and provide a rich and exciting platform for today's eclectic and diverse menus.",China,Green,Vesuvius Burnt Emerald,10 Inches,10 Inches,N/A,38 Ounces,N/A,United Kingdom,N/A,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/bowl-38oz-10-quot;d-vesuvius-burnt-emerald-6099787
Steelite 677RCR388 Timeless 12 Oz Double Old Fashioned Glass - 12 / CS,6111593,677RCR388,6111593,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Italy,8007815258857,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/glass-dbl-old-fash-12-oz-36-quot;h-timeless-6111593
