product_name,url,image_link,overview,length,width,height,volume,diameter,color,material,ean_code,pattern,barcode,mfr,sku,brand,series,type,capacity,case_pack_size,warranty,sale_price,regular_price,in_stock
Steelite - 10 In X 7 In Green Craft Cookware Presentation Pan (6 Per Case) - 11310866,https://williamsfoodequipment.com/steelite-10-in-x-7-in-green-craft-cookware-presentation-pan-6-per-case-11310866/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60293/101160/11310866__86120.1712007557.jpg?c=1,,,,,,,Green,Alumina Vitrified,,,,11310866,,Steelite International,Craft Cookware,Accessories,,6,Lifetime Edge Chip,"$2,107.69",,True
Steelite - 12 In X 10 7/8 In Craft Green Craft Plate (12 Per Case) - 11310520,https://williamsfoodequipment.com/steelite-12-in-x-10-7-8-in-craft-green-craft-plate-12-per-case-11310520/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60306/101180/11310520__89244.1712007590.jpg?c=1,,,,,,,Green,Alumina Vitrified,,,,11310520,,Steelite International,Craft,Plates,,12,Lifetime Edge Chip,"$2,229.74",,True
Steelite - 10 1/2 In Craft Blue Craft Tray Square (6 Per Case) - 11300553,https://williamsfoodequipment.com/steelite-10-1-2-in-craft-blue-craft-tray-square-6-per-case-11300553/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60140/main/image-url_zoom.webp,,,,,,,Blue,Alumina Vitrified,,,,11300553,,Steelite International,Craft,Plates,,6,Lifetime Edge Chip,"$1,562.39",,True
Steelite - 8 1/2 In X 1 1/2 In (27 Oz) Blue Craft Bowl Coupe (24 Per Case) - 11300570,https://williamsfoodequipment.com/steelite-8-1-2-in-x-1-1-2-in-27-oz-blue-craft-bowl-coupe-24-per-case-11300570/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60242/main/image-url_zoom.webp,,,,,,,Blue,Alumina Vitrified,,,,11300570,,Steelite International,Craft,Bowls,27 oz,24,Lifetime Edge Chip,"$1,874.86",,True
Steelite - 5 3/4 In X 1 5/8 In (6 1/2 Oz) Orange Craft Cookware Round Earred Dish (36 Per Case) - 11330191,https://williamsfoodequipment.com/steelite-5-3-4-in-x-1-5-8-in-6-1-2-oz-orange-craft-cookware-round-earred-dish-36-per-case-11330191/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60357/main/image-url_zoom.webp,,,,,,,Orange,Alumina Vitrified,,,,11330191,,Steelite International,Craft Cookware,Bowls,6 1/2 oz,36,Lifetime Edge Chip,"$3,405.12",,True
Steelite - 13 1/2 In X 10 5/8 In Craft White Craft Tray Rectangle (6 Per Case) - 11550551,https://williamsfoodequipment.com/steelite-13-1-2-in-x-10-5-8-in-craft-white-craft-tray-rectangle-6-per-case-11550551/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60178/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,11550551,,Steelite International,Craft,Plates,,6,Lifetime Edge Chip,"$1,594.19",,True
Steelite - 4 1/2 In X 4 3/4 In (12 Oz) Orange Craft Quench Mug (24 Per Case) - 11330591,https://williamsfoodequipment.com/steelite-4-1-2-in-x-4-3-4-in-12-oz-orange-craft-quench-mug-24-per-case-11330591/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60185/101031/11330591__93865.1712007303.jpg?c=1,,,,,,,Orange,Alumina Vitrified,,,,11330591,,Steelite International,Craft,Mugs,12 oz,24,Lifetime Edge Chip,"$1,598.64",,True
Steelite - 8 Oz  White Bianco Man Teacup Tall (36 Per Case) - 9102C438,https://williamsfoodequipment.com/steelite-4-1-4-in-x-3-in-8-oz-white-bianco-man-teacup-tall-36-per-case-9102c438/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/59976/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,9102C438,,Steelite International,Bianco,Cups,8 oz,36,Lifetime Edge Chip,"$1,311.36",,True
Steelite - 5 1/4 In X 2 3/4 In (12 Oz) Green Craft Low Cup (36 Per Case) - 11310152,https://williamsfoodequipment.com/steelite-5-1-4-in-x-2-3-4-in-12-oz-green-craft-low-cup-36-per-case-11310152/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60273/main/image-url_zoom.webp,,,,,,,Green,Alumina Vitrified,,,,11310152,,Steelite International,Craft,Cups,12 oz,36,Lifetime Edge Chip,"$2,008.20",,True
Steelite - 6 1/4 In X 4 In X 2 In (13 Oz) Blue Craft Cookware Oval Baker (24 Per Case) - 11300400,https://williamsfoodequipment.com/steelite-6-1-4-in-x-4-in-x-2-in-13-oz-blue-craft-cookware-oval-baker-24-per-case-11300400/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60316/101186/11300400__47537.1712007615.jpg?c=1,,,,,,,Blue,Alumina Vitrified,,,,11300400,,Steelite International,Craft Cookware,Accessories,13 oz,24,Lifetime Edge Chip,"$2,245.46",,True
