category_name,category_url,product_url
Espresso Cups,https://www.webstaurantstore.com/42693/espresso-cups.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-3-oz-white-embossed-cup-case/5769119C1258.html
Espresso Cups,https://www.webstaurantstore.com/42693/espresso-cups.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-alina-3-oz-white-embossed-stack-cup-case/5769119C1255.html
Espresso Cups,https://www.webstaurantstore.com/42693/espresso-cups.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-spyro-3-oz-white-embossed-low-cup-case/5769032C995.html
Espresso Cups,https://www.webstaurantstore.com/42693/espresso-cups.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-spyro-3-oz-white-embossed-stack-cup-case/5769032C993.html
Egg Plates and Egg Cups,https://www.webstaurantstore.com/20251/egg-plates-and-egg-cups.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-1-7-8-footless-egg-cup-case/5769001C040.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-1-qt-white-round-coupe-bowl-case/5769001C095.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-1-5-qt-white-round-coupe-bowl-case/5769001C1142.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-1-75-qt-white-round-coupe-bowl-case/5769001C094.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-10-white-round-coupe-plate-case/5769001C091.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-11-3-4-white-round-coupe-plate-case/5769001C090.html
