product_url,product_name,product_code,image_link,overview,length,width,height,volume,diameter,color,material,ean_code,pattern,barcode
https://www.steelitehome.com/serveware/creations-wood/creations-wood-71.1-cm-x-30.5-cm-wood-faceted-board,"Creations Wood Faceted Board - 71.1cm x 30.5cm (28"" x 12"")",6525TW321,https://www.steelitehome.com/image/cache/catalog/6525tw321-500x500.jpg,,,,,,71.1 cm,,Wood,,6525,
https://www.steelitehome.com/serveware/creations-wood/creations-wood-38.1-cm-wood-faceted-board,"Creations Wood Faceted Board - 38.1cm (15"")",6525TW322,https://www.steelitehome.com/image/cache/catalog/6525tw322-500x500.jpg,,,,,,38.1 cm,,Wood,,6525,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-26.7-cm-black-granite-round-skillet,"Folio Cookware Round Skillet - 26.7cm (10.5"")",6976QU008,https://www.steelitehome.com/image/cache/catalog/6976qu008-500x500.jpg,,,,,,26.7 cm,,Aluminium,,6976,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-14.6-cm-bronzed-granite-round-mini-crock,"Folio Cookware Round Mini Crock - 14.6cm (5.75"")",6977QU009,https://www.steelitehome.com/image/cache/catalog/6977qu009-500x500.jpg,,,,,,14.6 cm,,Aluminium,,6977,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-14.6-cm-black-granite-round-mini-crock,"Folio Cookware Round Mini Crock - 14.6cm (5.75"")",6976QU009,https://www.steelitehome.com/image/cache/catalog/6976qu009-500x500.jpg,,,,,,14.6 cm,,Aluminium,,6976,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-37.5-cm-bronzed-granite-round-induction-buffet-pot-tempered-glass-lid,"Folio Cookware Round Induction Buffet Pot W/Tempered Glass Lid - 37.5cm (14.75"")",6977QU004,https://www.steelitehome.com/image/cache/catalog/6977qu004_1-500x500.jpg,,,,,,37.5 cm,,Aluminium,,6977,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-37.5-cm-bronzed-granite-round-induction-buffet-pot-with-tempered-glass-lid,"Folio Cookware Round Induction Buffet Pot W/Tempered Glass Lid - 37.5cm (14.75"")",6977QU003,https://www.steelitehome.com/image/cache/catalog/6977qu003_1-500x500.jpg,,,,,,37.5 cm,,Aluminium,,6977,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-37.5-cm-black-granite-round-induction-buffet-pot-tempered-glass-lid,"Folio Cookware Round Induction Buffet Pot W/Tempered Glass Lid - 37.5cm (14.75"")",6976QU004,https://www.steelitehome.com/image/cache/catalog/6976qu004_1-500x500.jpg,,,,,,37.5 cm,,Aluminium,,6976,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-37.5-cm-black-granite-round-induction-buffet-pot-with-tempered-glass-lid,"Folio Cookware Round Induction Buffet Pot W/Tempered Glass Lid - 37.5cm (14.75"")",6976QU003,https://www.steelitehome.com/image/cache/catalog/6976qu003_1-500x500.jpg,,,,,,37.5 cm,,Aluminium,,6976,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-17.8-cm-bronzed-granite-oval-mini-crock,"Folio Cookware Oval Mini Crock - 17.8cm (7"")",6977QU013,https://www.steelitehome.com/image/cache/catalog/6977qu013-500x500.jpg,,,,,,17.8 cm,,Aluminium,,6977,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-17.8-cm-black-granite-oval-mini-crock,"Folio Cookware Oval Mini Crock - 17.8cm (7"")",6976QU013,https://www.steelitehome.com/image/cache/catalog/6976qu013-500x500.jpg,,,,,,17.8 cm,,Aluminium,,6976,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-32.4-cm-bronzed-granite-oval-casserole-with-handles,"Folio Cookware Oval Casserole W/Handles - 32.4cm (12.75"")",6977QU011,https://www.steelitehome.com/image/cache/catalog/6977qu011-500x500.jpg,,,,,,32.4 cm,,Aluminium,,6977,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-32.4-cm-black-granite-oval-casserole-with-handles,"Folio Cookware Oval Casserole W/Handles - 32.4cm (12.75"")",6976QU011,https://www.steelitehome.com/image/cache/catalog/6976qu011-500x500.jpg,,,,,,32.4 cm,,Aluminium,,6976,
https://www.steelitehome.com/serveware/folio-cookware/folio-cookware-26.7-cm-bronzed-granite-oval-casserole-with-handles,"Folio Cookware Oval Casserole W/Handles - 26.7cm (10.5"")",6977QU012,https://www.steelitehome.com/image/cache/catalog/6977qu012-500x500.jpg,,,,,,26.7 cm,,Aluminium,,6977,
